name,address
대구서부초등학교,대구 서구 달서로26길 25
대구성남초등학교,대구 달서구 성당로47길 35
대구칠성초등학교,대구 북구 침산남로32길 17
경덕여자고등학교,대구 서구 국채보상로34길 50
월서중학교,대구 달서구 월배로33길 105
경원고등학교,대구 달서구 새방로 77
대구남도초등학교,대구 남구 현충동길 74
노변중학교,대구 수성구 시지로 66
침산중학교,대구 북구 침산남로 121
대구상인초등학교,대구 달서구 월곡로 211
대구새론초등학교,대구 동구 과학로13길 5
동대구초등학교,대구 동구 신암남로 45
소선여자중학교,대구 수성구 교학로8길 37
계성중학교,대구 중구 달성로 35
영남고등학교,대구 달서구 월곡로 300
대구용지초등학교,대구 수성구 지산로 12
대구동신초등학교,대구 동구 송라로 123
중리중학교,대구 서구 국채보상로34길 63
대구도남초등학교,대구 북구 구리로 202
대구동일초등학교,대구 수성구 들안로 311
경상고등학교,대구 북구 공항로15길 24
대구종로초등학교,대구 중구 경상감영길 49
대구범어초등학교,대구 수성구 달구벌대로489길 55
대구남산고등학교,대구 수성구 신천동로 364
동평중학교,대구 북구 대천로 123
강동중학교,대구 동구 동호로 112
대구대성초등학교,대구 서구 국채보상로 426
대구성보학교,대구 북구 동북로71길 9-45
오성고등학교,대구 수성구 달구벌대로522길 78
경명여자고등학교,대구 북구 칠성로17길 18
대구안일초등학교,대구 동구 율하동로23길 66
달서고등학교,대구 달성군 하빈면 하빈로 118
대구장동초등학교,대구 달서구 달구벌대로304길 112
경화 여자고등학교,대구 달서구 당산로30길 20
송현여자고등학교,대구 달서구 송현로 156
경서중학교,대구 달성군 옥포읍 돌미로5길 15
대구감삼초등학교,대구 달서구 당산로 123
운암고등학교,대구 북구 학정로 378
다사고등학교,대구 달성군 다사읍 달구벌대로 839
대구두산초등학교,대구 수성구 동대구로6길 31
포산고등학교,대구 달성군 현풍읍 비슬로 556-13
대구여자상업고등학교,대구 남구 현충로40길 50
대구선명학교,대구 동구 팔공산로 225
대곡고등학교,대구 달서구 도원남로 80
황금중학교,대구 수성구 들안로32길 40
대구문성초등학교,대구 북구 복현로 180
영진고등학교,대구 북구 동북로57길 9
성서고등학교,대구 달서구 선원로 221
대구동중학교,대구 수성구 수성로76길 33
계성초등학교,대구 중구 달성로 15
대구유천초등학교,대구 달서구 달서대로 39
능인고등학교,대구 수성구 무학로 207
대구옥산초등학교,대구 북구 칠성시장로23길 55
대곡중학교,대구 달서구 도원남로 5
대구서평초등학교,대구 서구 서대구로45길 60
상인고등학교,대구 달서구 상인로 24
대구성북초등학교,대구 북구 호국로57길 42
복현중학교,대구 북구 동북로65길 28
운암중학교,대구 북구 구암로49길 9
대구대봉초등학교,대구 남구 대봉로26길 33
성곡중학교,대구 달서구 새방로 32
와룡고등학교,대구 달서구 선원로23북길 20
대구죽전초등학교,대구 달서구 죽전길 127
경운중학교,대구 서구 서대구로3길 32
대구조암초등학교,대구 달서구 조암로5길 19
대명중학교,대구 남구 앞산순환로 477
대구월촌초등학교,대구 달서구 상인서로 60
대구송정초등학교,대구 동구 안심로90길 9
대구옥포초등학교,대구 달성군 옥포읍 비슬로 2220
대구영선초등학교,대구 남구 영선길 96
대구강동초등학교,대구 동구 동호로7길 17
칠성고등학교,대구 북구 칠성로 13
평리중학교,대구 서구 국채보상로55길 21
대구만촌초등학교,대구 수성구 국채보상로214길 33
경일중학교,대구 서구 달서천로76길 11
대구제일중학교,대구 중구 명륜로23길 16
대구욱수초등학교,대구 수성구 신매로 20
대구구지초등학교,대구 달성군 구지면 창리로11길 45-11
대구한샘초등학교,대구 달서구 월배로11길 42
성산고등학교,대구 달서구 새방로7길 33
대구신매초등학교,대구 수성구 달구벌대로650길 26
협성고등학교,대구 남구 효성로 33
대구경운초등학교,대구 서구 평리로54길 16
대구파호초등학교,대구 달서구 달서대로109안길 76
시지중학교,대구 수성구 신매로 66
대구효신초등학교,대구 동구 동부로34길 70
대구반야월초등학교,대구 동구 안심로49길 70
대구대청초등학교,대구 수성구 교학로12길 42
대구달산초등학교,대구 북구 옥산로17길 37
대구신월초등학교,대구 달서구 조암남로 100
대구율하초등학교,대구 동구 율하동로15길 1
대남초등학교,대구 달서구 월배로68길 91
대구내당초등학교,대구 달서구 명덕로 22-9
대구유가초등학교,대구 달성군 유가읍 테크노대로5길 34
신아중학교,대구 동구 아양로39길 30
왕선중학교,대구 달성군 다사읍 대실역북로 83
대구운암초등학교,대구 북구 대천로 148
관음중학교,대구 북구 관음동로 87
대구신흥초등학교,대구 달서구 두류공원로 257
대구매천초등학교,대구 북구 매천로 179
대진고등학교,대구 달서구 화암로73길 15
대구용산초등학교,대구 달서구 와룡로49길 80
대구일과학고등학교,대구 동구 경안로 987
대구예담학교,대구 달서구 구마로21길 36
대구비슬초등학교,대구 달성군 유가읍 테크노북로 144
대구달서초등학교,대구 서구 국채보상로34길 35
대구신당초등학교,대구 달서구 서당로 14
대구체육고등학교,대구 북구 칠곡중앙대로136길 29
대구 범일초등학교,대구 수성구 범안로4길 22
정화여자고등학교,대구 수성구 청호로84길 123
대구덕희학교,대구 남구 성당로50길 33
매천고등학교,대구 북구 매전로 70
대구서동초등학교,대구 달성군 다사읍 서재로7길 55
대구해올중고등학교,대구 달서구 야외음악당로 42
와룡중학교,대구 달서구 선원남로 23
화원중학교,대구 달성군 화원읍 성암로 48
대구다사초등학교,대구 달성군 다사읍 다사로 86
강북고등학교,대구 북구 태전로 100
대구삼영초등학교,대구 북구 내곡로 63
동원중학교,대구 수성구 효행로2길 81
대구장성초등학교,대구 달서구 달구벌대로 1429-11
영신고등학교,대구 동구 팔공로50길 32
호산고등학교,대구 달서구 달서대로109길 86
비슬고등학교,대구 달성군 현풍읍 테크노북로 100
새본리중학교,대구 달서구 대명천로 167
대구이현초등학교,대구 서구 국채보상로37길 35
대구동덕초등학교,대구 중구 동덕로26길 20
대구성명초등학교,대구 남구 성당로30길 55
효성여자고등학교,대구 달서구 월곡로94길 46
대구불로초등학교,대구 동구 방천로3길 19
대구평리초등학교,대구 서구 국채보상로53길 6-5
함지고등학교,대구 북구 학정로48길 46
대구진월초등학교,대구 달서구 진천로4길 32
대구관문초등학교,대구 북구 매전로 32
대구동부초등학교,대구 동구 신암북로7길 22
대구 덕성초등학교,대구 동구 아양로34길 50
대구한솔초등학교,대구 달서구 조암남로 172-13
대구사수초등학교,대구 북구 내곡로 124
대구지산초등학교,대구 수성구 지범로17길 3-14
대구감천초등학교,대구 달서구 구마로12길 60
한국폴리텍대학 섬유패션캠퍼스,대구 동구 팔공로 222
대구도원초등학교,대구 달서구 도원남로 100-30
대구대곡초등학교,대구 달서구 도원남로 60
대구성당초등학교,대구 달서구 대명천로 118
대구현풍초등학교,대구 달성군 현풍읍 비슬로134길 167-6
