name,address
대구공동회시장,대구 남구 대명로 9
달서 종합시장1차,대구 달서구 당산로 35
달서종합시장,대구 달서구 감삼길 79
구마종합시장,대구 달서구 장기로5길 29
신내당시장상점,대구 달서구 달구벌대로 1726-16
대구약령시장문화관광형시장육성사업단,대구 중구 남성로 25
대구사과시장,대구 북구 칠성남로 207
경명시장,대구 북구 칠성시장로5길 14
동성로상점가상인회,대구 중구 중앙대로 384
블레스,대구 중구 큰장로26길 65
불로전통시장 공영주차장,대구 동구 불로동 483-5
대구전통시장진흥재단,대구 수성구 들안로 285-64
대구전통시장진흥재단,대구 남구 대명로 215 대구상인교육관 4층
불로전통시장상인교육관,대구 동구 팔공로24길 5
한전동대구(전통시장) 노상공영주차장,대구 동구 효목동 541-4
불로전통시장 화장실,대구 동구 팔공로24길 19-4
(재단)대구전통시장진흥재단,대구 중구 큰장로24길 26
대구전통시장진흥재단,대구 북구 칠성남로 230
이마트 칠성점,대구 북구 침산로 93
이마트 월배점,대구 달서구 진천로 92
이마트 만촌점,대구 수성구 동원로 136
이마트 성서점,대구 달서구 이곡동로 24
이마트 감삼점,대구 달서구 와룡로 143
이마트 반야월점,대구 동구 안심로 389-2
홈플러스 성서점,대구 달서구 달구벌대로 1467
롯데마트 칠성점,대구 북구 호암로 1
코스트코 대구혁신도시점,대구 동구 첨단로 10
홈플러스 칠곡점,대구 북구 동암로12길 8
홈플러스 스페셜 대구점,대구 북구 중앙대로 543
이마트트레이더스 비산점,대구 서구 팔달로 54
홈플러스 스페셜 상인점,"대구 달서구 월배로 183 지하 1,2층"
코스트코 대구점,대구 북구 검단로 97
홈플러스 대구수성점,대구 수성구 동대구로 95
홈플러스 내당점,대구 서구 달구벌대로 1821
홈플러스 남대구점,대구 남구 대명로 116
롯데마트 대구율하점,대구 동구 안심로 80
홈플러스 대구스타디움점,대구 수성구 유니버시아드로 140
홈플러스 동촌점,대구 동구 동촌로 127
킴스클럽 쇼핑점,대구 중구 달구벌대로 2085
킴스클럽 수성2점,대구 수성구 수성로 393
킴스클럽 수성점,대구 수성구 지범로 191
킴스클럽 강북점,대구 북구 칠곡중앙대로 416
텍폴식자재마트,대구 달성군 현풍읍 테크노상업로2길 8-13
다미식자재마트,대구 북구 학정로 91
나이스마트 매호점,대구 수성구 달구벌대로637길 22
우리식자재마트,대구 동구 메디밸리로 5-26 우리빌딩
오케이포인트마트 월촌역점,대구 달서구 송현로 76
현풍 그릇만물대형마트,대구 달서구 성서서로 355
신세계백화점 대구점 주차장,대구 동구 동부로 149
신세계백화점 대구점 주차장입구,대구 동구 동대구로 550
동대구역복합환승센터 주차장,대구 동구 동부로 149
동아백화점 쇼핑점 전용주차장,대구 중구 종로 21
동아백화점별관주차장,대구 북구 칠곡중앙대로 419
롯데아울렛A주차장,대구 동구 봉무동
모다아울렛 옥외주차장,대구 달서구 호림동 17-3
롯데아울렛 B주차장,대구 동구 봉무동
동아아울렛 본점 주차장,대구 중구 교동1길 45
