name,address
이월드 잔치집,대구 달서구 성당동 136-2
이월드 히말리야,대구 달서구 두류동
이월드 독수리편대,대구 달서구 두류동 산 302-5
이월드 루나호프,대구 달서구 성당동 136-2
이월드 웨스턴광장,대구 달서구 두류동 302-11
이월드 부메랑,대구 달서구 두류동
대구 시민안전테마파크 주차장,대구 동구 팔공산로 1155
연꽃테마파크,대구 동구 대림동 728
시민안전테마파크 전기차충전소,대구 동구 팔공산로 1155
테마파크편의점,대구 동구 팔공산로185길 19
더츠커피대구테마파크,대구 달성군 가창면 가창로 891
더츠 테마파크,대구 달성군 가창면 가창로 891
지진옥외대피소 감성테마공원,대구 달서구 상인동 1461
동촌유원지,대구 동구 효동로6길 73
화원유원지,대구 달성군 화원읍 사문진로1길 40-14
수성유원지,대구 수성구 무학로 78
대구강정유원지,대구 달성군 다사읍 강정본길 57
엘에스씨,대구 달성군 다사읍 강정본길 62
화원유원지 사문진나루터,대구 달성군 화원읍 사문진로1길 40-14
화원유원지주유소,대구 달성군 화원읍 사문진로 346
동촌유원지주차장,대구 동구 검사동 984-9
동촌유원지 서편2주차장,대구 동구 효목동 1040
화원유원지 강변축구장,대구 달성군 화원읍 성산리 744-11
동촌유원지 유람선매표소,대구 동구 검사동 1108
동촌유원지 서편1주차장,대구 동구 효목동 1025
수성유원지 호수전망대,대구 수성구 무학로 78
수성유원지 농구장,대구 수성구 무학로 112
동촌유원지치안센터,대구 동구 효목동 1314
유원지주차장,대구 달성군 화원읍 성산리 744-11
동촌유원지 서편2주차장,대구 동구 효목동 1043-3
성암산 수성유원지체육공원,대구 수성구 두산동
동촌유원지 화장실,대구 동구 효동로6길 73
헌터스문동촌유원지점,대구 동구 효동로6길 57
수성유원지 테니스장,대구 수성구 두산동 505-2
수성못족발유원지,대구 수성구 수성못2길 37-5
에스지(SG)스크린골프동촌유원지점,대구 동구 효동로2길 19
동촌유원지 입구 주차장 전기차충전소,대구 동구 효목동 1025
CU 수성유원지점,대구 수성구 용학로 33
GS25 동촌유원지점,대구 동구 효동로2길 29
GS25 수성유원지점,대구 수성구 수성못길 26
라라코스트 동촌유원지점,대구 동구 효동로2길 29
스타벅스 대구동촌유원지점,"대구 동구 효동로2길 45 1,2층"
투썸플레이스 대구동촌유원지점,대구 동구 효동로6길 46
커피스미스 대구동촌유원지점,대구 동구 효동로6길 118
세븐일레븐 대구화원유원지점,대구 달성군 화원읍 사문진로 293
세븐일레븐 동촌유원지점,대구 동구 효동로2길 56
맨인더키친 동촌유원지점,대구 동구 효동로6길 122
코쿠미 동촌유원지점,대구 동구 효동로2길 29 1층
파스쿠찌 대구수성유원지점,대구 수성구 수성못길 28
캬츄마마 대구동촌유원지점,대구 동구 효동로6길 86 3층
장수미역 동촌유원지점,대구 동구 효동로6길 47-5
핸즈커피 동촌유원지점,대구 동구 효동로6길 5-6 2~4층
브라운도트 대구동촌유원지점,대구 동구 효동로6길 32
화원동산 주차장,대구 달성군 화원읍 사문진로1길 40-14
옛골토성 대구동촌유원지점,대구 동구 효동로2길 33-12
설빙 대구동촌유원지점,대구 동구 효동로2길 45 2층
샤브향 대구동촌유원지점,대구 동구 효동로2길 45 3층
농협목우촌미소와돈 동촌점,대구 동구 효동로6길 51
왕산식육식당 동촌유원지점,대구 동구 효동로2길 57-7
그램그램 동촌유원지점,대구 동구 효동로2길 47-7
파스쿠찌 동촌유원지점,대구 동구 효동로2길 33
이디야 동촌유원지점,"대구 동구 효동로6길 84-8 1,2층"
55온족발 동촌유원지점,대구 동구 효동로2길 45
리얼야구존 동촌유원지점,대구 동구 효동로6길 88
다빈치커피 에덴의동쪽점,"대구 동구 효동로2길 41 1,2층"
드롭탑 동촌유원지점,대구 동구 효목동 1010-10
디팩토리,대구 동구 효동로2길 27
윤치킨 동촌유원지점,대구 동구 효동로2길 19 3층
풍대리코다리 동촌유원지점,대구 동구 효동로2길 29 1층
망고식스 동촌유원지점,대구 동구 효동로2길 19
지진옥외대피소 화원유원지,대구 달성군 화원읍 성산리 310
지진옥외대피소 동촌유원지,대구 동구 효목동 970
김광석거리 관광안내소,대구 중구 달구벌대로 2232
대구관광정보센터,대구 달서구 공원순환로 46
대구시관광협회 동성로관광안내소,대구 중구 동성로 30
대구스타디움 종합안내소,대구 수성구 유니버시아드로 140
동대구관광안내소,대구 동구 동대구로 550
동화사 관광안내소,대구 동구 동화사1길 1
불로동고분공원 관광안내소,대구 동구 불로동 산 10-2
대구국제공항 여행고객지원센터,대구 동구 공항로 221
대구공항 관광안내소,대구 동구 공항로 221 1층 3번게이트옆
대구역 관광안내소,대구 북구 태평로 161
팔공산둘레길종합안내센터,대구 동구 갓바위로 229
비슬산휴양림 안내실,대구 달성군 유가읍 용리 산 15
고분군 팔거산성 탐방안내소,대구 북구 구암동 388
대구광역시관광협회,대구 달서구 공원순환로 46
한국관광공사 대구경북지사,대구 중구 동덕로 167 KT스마트타워 6층
