name,dong,lon,lat,in,out
한국폴리텍대학(섬유패션캠퍼스),불로.봉무동,128.64135556666668,35.92033375000001,5165.0,27771.0
원불교앞,불로.봉무동,128.64151299999997,35.927732000000006,8469.0,9562.0
이시아폴리스더샵1단지,불로.봉무동,128.64114166666667,35.92460666666667,475923.0,32384.0
신생원건너,안심3.4동,128.73257345,35.86473201666667,82.0,2850.0
신생원앞,안심3.4동,128.7326469666667,35.864865366666656,16558.0,232.0
동촌유원지,효목1동,128.65552093333332,35.87803076666667,10935.0,8102.0
신암보성아파트앞,신암4동,128.62490688333335,35.88746025,10320.0,13697.0
용계동3,안심2동,128.68785,35.880495,67.0,1305.0
용계동4,안심2동,128.68782166666668,35.88056333333333,3311.0,524.0
봉무불로파출소,불로.봉무동,128.64129499999999,35.92791333333333,41688.0,16178.0
팔공산IC입구,불로.봉무동,128.64104333333336,35.90773166666667,6902.0,63948.0
이시아폴리스더샵2단지,불로.봉무동,128.64158833333335,35.92576333333333,62541.0,26878.0
한국감정원앞,안심3.4동,128.73010000000002,35.87847166666665,5274.0,3784.0
첨단의료산업진흥재단앞,안심3.4동,128.73572166666665,35.87844166666665,1729.0,2439.0
첨단의료산업진흥재단건너,안심3.4동,128.735375,35.87806666666667,3764.0,829.0
한국산업단지공단앞,안심3.4동,128.73006804999997,35.87941963333333,14971.0,1962.0
LH5단지아파트후문앞,안심3.4동,128.71496833333333,35.88332166666667,5055.0,7482.0
각산푸르지오앞,안심3.4동,128.71394333333333,35.87418,27511.0,14642.0
각산푸르지오건너,안심3.4동,128.71386666666666,35.874795,48000.0,32833.0
새론초등학교건너,안심3.4동,128.71645500000002,35.88534833333333,62170.0,6615.0
이노밸리로1,안심3.4동,128.72152648333335,35.87790335,1629.0,575.0
이노밸리로2,안심3.4동,128.72184448333334,35.87774461666667,1771.0,1361.0
서한이다음1차앞,안심3.4동,128.71474333333333,35.88329833333333,33378.0,2216.0
새론초등학교앞,안심3.4동,128.71639999999996,35.885171666666665,16975.0,6885.0
봉무공원앞,불로.봉무동,128.64151166666667,35.922393333333346,97864.0,28046.0
대구텍스타일콤플렉스,불로.봉무동,128.64093666666668,35.919065,87126.0,10574.0
한국정보화진흥원,안심3.4동,128.73058686666667,35.88072623333333,2851.0,1388.0
혁신2근린공원,안심3.4동,128.73239999999998,35.88143833333333,6662.0,1315.0
한국건강관리협회건너,신천3동,128.62313893333334,35.8686682,22125.0,7134.0
신덕마을입구앞,안심2동,128.68958666666668,35.881996666666666,8142.0,628.0
신덕마을입구건너,안심2동,128.68936081666664,35.881993783333336,11206.0,532.0
혁신도시입구1,안심3.4동,128.7138996,35.87848021666667,52206.0,10267.0
혁신도시입구2,안심3.4동,128.71429535,35.878421533333345,17599.0,10366.0
서한이다음2차앞,안심3.4동,128.71421375,35.880746283333345,33484.0,5437.0
서한이다음2차건너,안심3.4동,128.71459496666665,35.880663733333336,4268.0,5772.0
LH5단지아파트앞,안심3.4동,128.71671666666668,35.882385,13183.0,1170.0
LH5단지아파트건너,안심3.4동,128.71681666666663,35.882131666666666,20185.0,5663.0
새론중학교앞,안심3.4동,128.72548,35.87848666666665,1565.0,712.0
새론중학교건너,안심3.4동,128.72535333333332,35.87832166666667,13838.0,6284.0
한국감정원앞2,안심3.4동,128.72825705000002,35.878322783333346,29352.0,1270.0
신용보증기금앞,안심3.4동,128.72824343333335,35.878024683333344,18370.0,11771.0
NH농협혁신도시지점앞,안심3.4동,128.73259495,35.877867533333344,40841.0,2512.0
NH농협혁신도시지점건너,안심3.4동,128.73256653333334,35.87760516666667,218.0,1630.0
봉무초등학교앞,불로.봉무동,128.6360842,35.92508745,79127.0,322.0
봉무초등학교건너,불로.봉무동,128.6376632333333,35.9250183,479.0,14376.0
이시아폴리스롯데몰앞,불로.봉무동,128.63552848333336,35.92064815000001,473.0,7439.0
이시아폴리스롯데몰건너,불로.봉무동,128.63513366666666,35.92044426666667,52706.0,6266.0
율금초등학교앞,안심1동,128.69248528333335,35.86191584999999,273.0,4236.0
율하체육공원앞,안심1동,128.69517051666668,35.86064456666667,9785.0,5671.0
율하선수촌2단지앞,안심1동,128.69488108333334,35.860877533333344,32525.0,1960.0
율금초등학교건너,안심1동,128.69277385,35.86190705,47729.0,2696.0
숙천초교입구,안심3.4동,128.75133666666667,35.874955,141769.0,17230.0
혁신이노힐즈아파트앞,안심3.4동,128.7477516666667,35.874625,27527.0,1569.0
혁신이노힐즈아파트건너,안심3.4동,128.74840833333334,35.87443333333333,4125.0,2492.0
숙천초교입구건너,안심3.4동,128.75252333333336,35.87489833333333,4751.0,2046.0
한국한의학연구원앞,안심3.4동,128.73202333333333,35.88162666666665,529.0,2412.0
대구그린파워앞,안심2동,128.70371953333333,35.88159168333333,204.0,134.0
대구그린파워건너,안심2동,128.70359296666666,35.88172946666667,81.0,9.0
각산비나리공원앞,안심3.4동,128.71570251666668,35.87879175,23191.0,1805.0
각산비나리공원건너,안심3.4동,128.71550471666666,35.87861573333333,8399.0,1456.0
나불지앞,안심3.4동,128.71913923333335,35.87845398333333,7569.0,4729.0
나불지건너,안심3.4동,128.71886853333336,35.87826648333334,3751.0,767.0
중앙교육연수원앞,안심3.4동,128.73146905000002,35.88411713333333,645.0,2219.0
한국가스공사앞,안심3.4동,128.72961891666668,35.88580673333333,3035.0,2274.0
한국가스공사건너,안심3.4동,128.7296333,35.88567821666665,4927.0,1748.0
한국뇌연구원앞,안심3.4동,128.73132518333333,35.88407521666667,2920.0,278.0
LH10단지아파트건너,안심3.4동,128.74980261666667,35.873193466666656,4063.0,46025.0
LH10단지아파트앞,안심3.4동,128.74978211666667,35.87414755,14184.0,10726.0
대구국제공항여객청사,지저동,128.63730500000003,35.89983140000001,18955.0,1722.0
율하천4교1,안심2동,128.70628298333335,35.88547385000001,150.0,2.0
율하천4교2,안심2동,128.70629645000002,35.88528521666667,22.0,110.0
율하천5교1,안심2동,128.70533675,35.88737518333333,956.0,11.0
율하천5교2,안심2동,128.70554771666667,35.88753461666668,23.0,97.0
송호지서편1,안심2동,128.7025206,35.8897784,52.0,4.0
송호지서편2,안심2동,128.70265138333335,35.88961980000001,4.0,524.0
항공교통본부앞,안심2동,128.70308205,35.89195818333333,575.0,1.0
항공교통본부건너,안심2동,128.70326146666667,35.89185268333333,7.0,152.0
율하천6교1,안심3.4동,128.70832431666668,35.891428083333345,532.0,19.0
율하천6교2,안심3.4동,128.7083900833333,35.891249466666665,285.0,85.0
안심고가교하부1,안심2동,128.70166833333332,35.879,271.0,2630.0
조양회관,효목1동,128.65572686666667,35.87673741666667,523.0,1436.0
숙천초교앞,안심3.4동,128.75248785,35.87682881666667,263.0,1510.0
서한이다음4차앞,안심3.4동,128.75231601666667,35.880117133333336,4937.0,3044.0
LH14단지아파트,안심3.4동,128.75202168333334,35.88273945,14435.0,2814.0
서한이다음4차건너,안심3.4동,128.75228386666666,35.87988361666667,13364.0,1438.0
숙천초교건너,안심3.4동,128.7523802,35.876746366666666,618.0,1187.0
내곡동마을회관,안심3.4동,128.75908013333336,35.88665615,2418.0,187.0
숙천2동마을회관앞,안심3.4동,128.75364009999998,35.88191116666667,41.0,9.0
LH13단지아파트앞,안심3.4동,128.75245656666667,35.88189711666667,19.0,140.0
숙천2동마을회관건너,안심3.4동,128.75358555,35.88193073333333,16.0,1.0
조양회관건너,효목1동,128.65637096666666,35.876559883333336,4119.0,767.0
안심도서관1(서편),안심1동,128.69972166666668,35.85990666666667,1619.0,524.0
안심도서관2(서편),안심1동,128.69971833333332,35.85973,435.0,1425.0
대구보건대학앞2,태전1동,128.54254166666666,35.92723833333333,9782.0,9484.0
